guid,Country,Country:xx,"Country info","Country info:xx",Capital,Capital:xx,"Capital info","Capital info:xx","Capital hint","Capital hint:xx",Flag,"Flag similarity","Flag similarity:xx",Map,tags
crr.AfnVRi,England,,"Constituent country of the United Kingdom.",,London,,,,"Not a sovereign country",,"<img src=""ug-flag-england.svg"" />",,,"<img src=""ug-map-england.png"" />",UG::Europe
fLa47kwPQ|,Scotland,,"Constituent country of the United Kingdom.",,Edinburgh,,,,,,"<img src=""ug-flag-scotland.svg"" />",,,"<img src=""ug-map-scotland.png"" />",UG::Europe
"qip%,jz5{B","United Kingdom",,,,London,,,,"Sovereign country",,"<img src=""ug-flag-united_kingdom.svg"" />",,,"<img src=""ug-map-united_kingdom.png"" />","UG::Europe UG::European_Union UG::Sovereign_State"
a>/E!W3aZ:,"Northern Ireland",,"Constituent country of the United Kingdom.",,Belfast,,,,,,,,,"<img src=""ug-map-northern_ireland.png"" />",UG::Europe
kqgh09rAu/,France,,,,Paris,,,,,,"<img src=""ug-flag-france.svg"" />",,,"<img src=""ug-map-france.png"" />","UG::Europe UG::European_Union UG::Mediterranean UG::Sovereign_State"
f<$dGtu.n+,Wales,,"Constituent country of the United Kingdom.",,Cardiff,,,,,,"<img src=""ug-flag-wales.svg"" />",,,"<img src=""ug-map-wales.png"" />",UG::Europe
h<F-8<;jT{,Georgia,,,,Tbilisi,,,,,,"<img src=""ug-flag-georgia.svg"" />",,,"<img src=""ug-map-georgia.png"" />","UG::Europe UG::Sovereign_State"
hJ7x:*PI9*,Germany,,,,Berlin,,,,,,"<img src=""ug-flag-germany.svg"" />",,,"<img src=""ug-map-germany.png"" />","UG::Europe UG::European_Union UG::Sovereign_State"
lr1v|Atq>-,Greece,,,,Athens,,,,,,"<img src=""ug-flag-greece.svg"" />",,,"<img src=""ug-map-greece.png"" />","UG::Europe UG::European_Union UG::Mediterranean UG::Sovereign_State"
gX&04dwF4K,Greenland,,"Constituent country in the Kingdom of Denmark.",,Nuuk,,,,,,"<img src=""ug-flag-greenland.svg"" />",,,"<img src=""ug-map-greenland.png"" />",UG::North_America
kOKi`(Zy9C,Hungary,,,,Budapest,,,,,,"<img src=""ug-flag-hungary.svg"" />",,,"<img src=""ug-map-hungary.png"" />","UG::Europe UG::European_Union UG::Sovereign_State"
e#egEUHJ3(,Albania,,,,Tirana,,,,,,"<img src=""ug-flag-albania.svg"" />",,,"<img src=""ug-map-albania.png"" />","UG::Europe UG::Mediterranean UG::Sovereign_State"
b|eaD7qKo],Andorra,,,,"Andorra la Vella",,,,,,"<img src=""ug-flag-andorra.png"" />","Moldova (wider, coat of arms with eagle)",,"<img src=""ug-map-andorra.png"" />","UG::Europe UG::Sovereign_State"
