File,Source,License,Modifications
ug-flag-laos.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Laos.svg,PD,
ug-flag-latvia.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Latvia.svg,PD,
ug-flag-lebanon.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Lebanon.svg,PD,
ug-flag-lesotho.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Lesotho.svg,PD,
ug-flag-liberia.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Liberia.svg,PD,
ug-flag-libya.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Libya.svg,PD,
ug-flag-liechtenstein.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Liechtenstein.svg,PD,
ug-flag-lithuania.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Lithuania.svg,PD,
ug-flag-luxembourg.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Luxembourg.svg,PD,
ug-flag-macau.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Macau.svg,PD,
ug-flag-madagascar.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Madagascar.svg,PD,
ug-flag-malawi.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Malawi.svg,PD,
ug-flag-malaysia.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Malaysia.svg,PD,
ug-flag-maldives.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Maldives.svg,PD,
ug-flag-mali.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Mali.svg,PD,
ug-flag-malta.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Malta.svg,PD,
ug-flag-marshall_islands.svg,https://commons.wikimedia.org/wiki/File:Flag_of_the_Marshall_Islands.svg,PD,
ug-flag-mauritania.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Mauritania.svg,PD,
ug-flag-mauritius.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Mauritius.svg,PD,
ug-flag-mexico.png,https://commons.wikimedia.org/wiki/File:Flag_of_Mexico.svg,PD,
ug-flag-moldova.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Moldova.svg,PD,
ug-flag-monaco.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Monaco.svg,PD,
ug-flag-mongolia.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Mongolia.svg,PD,
ug-flag-montenegro.png,https://commons.wikimedia.org/wiki/File:Flag_of_Montenegro.svg,PD,
ug-flag-morocco.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Morocco.svg,PD,
ug-flag-mozambique.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Mozambique.svg,PD,
ug-flag-myanmar.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Myanmar.svg,PD,
ug-flag-namibia.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Namibia.svg,PD,
ug-flag-nauru.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Nauru.svg,PD,
ug-flag-nepal-nobox.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Nepal.svg,PD,
ug-flag-netherlands.svg,https://commons.wikimedia.org/wiki/File:Flag_of_the_Netherlands.svg,PD,
ug-flag-new_caledonia.svg,https://commons.wikimedia.org/wiki/File:Flag_of_FLNKS.svg,PD,
ug-flag-new_zealand.svg,https://commons.wikimedia.org/wiki/File:Flag_of_New_Zealand.svg,PD,
ug-flag-nicaragua.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Nicaragua.svg,PD,
ug-flag-nicaragua-blur.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Nicaragua.svg,PD,Inkscape Gaussian blur of 3.5
ug-flag-niger.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Niger.svg,PD,
ug-flag-nigeria.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Nigeria.svg,PD,
ug-flag-niue.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Niue.svg,PD,
ug-flag-north_korea.svg,https://commons.wikimedia.org/wiki/File:Flag_of_North_Korea.svg,PD,
ug-flag-north_macedonia.svg,https://commons.wikimedia.org/wiki/File:Flag_of_North_Macedonia.svg,PD,
ug-flag-northern_cyprus.svg,https://commons.wikimedia.org/wiki/File:Flag_of_the_Turkish_Republic_of_Northern_Cyprus.svg,CC BY-SA 2.5,
ug-flag-norway.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Norway.svg,PD,
ug-flag-oman.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Oman.svg,PD,
ug-flag-pakistan.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Pakistan.svg,PD,
ug-flag-palau.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Palau.svg,PD,
ug-flag-palestine.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Palestine.svg,PD,
ug-flag-panama.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Panama.svg,PD,
ug-flag-papua_new_guinea.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Papua_New_Guinea.svg,PD,
ug-flag-paraguay.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Paraguay.svg,PD,
ug-flag-paraguay-blur.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Paraguay.svg,PD,Inkscape Gaussian blur of 1.5
ug-flag-peru.png,https://commons.wikimedia.org/wiki/File:Flag_of_Peru_(state).svg,PD,
ug-flag-philippines.svg,https://commons.wikimedia.org/wiki/File:Flag_of_the_Philippines.svg,PD,
ug-flag-poland.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Poland.svg,PD,
ug-flag-portugal.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Portugal.svg,PD,
ug-flag-puerto_rico.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Puerto_Rico.svg,PD,
ug-flag-qatar.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Qatar.svg,PD,
ug-flag-republic_of_artsakh.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Artsakh.svg,PD,
ug-flag-republic_of_the_congo.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Republic_of_the_Congo.svg,PD,
ug-flag-romania.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Romania.svg,PD,
ug-flag-russia.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Russia.svg,PD,
ug-flag-rwanda.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Rwanda.svg,PD,
ug-flag-sahrawi_arab_democratic_republic.svg,https://commons.wikimedia.org/wiki/File:Flag_of_the_Sahrawi_Arab_Democratic_Republic.svg,PD,
ug-flag-saint_kitts_and_nevis.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Saint_Kitts_and_Nevis.svg,PD,
ug-flag-saint_lucia.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Saint_Lucia.svg,PD,
ug-flag-saint_vincent_and_the_grenadines.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Saint_Vincent_and_the_Grenadines.svg,PD,
ug-flag-samoa.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Samoa.svg,PD,
ug-flag-san_marino.png,https://commons.wikimedia.org/wiki/File:Flag_of_San_Marino.svg,PD,
ug-flag-sao_tome_and_principe.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Sao_Tome_and_Principe.svg,PD,
ug-flag-saudi_arabia.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Saudi_Arabia.svg,PD,
ug-flag-scotland.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Scotland.svg,PD,
ug-flag-senegal.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Senegal.svg,PD,
ug-flag-serbia.png,https://commons.wikimedia.org/wiki/File:Flag_of_Serbia.svg,PD,
ug-flag-seychelles.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Seychelles.svg,PD,
ug-flag-sierra_leone.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Sierra_Leone.svg,PD,
ug-flag-singapore.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Singapore.svg,PD,
ug-flag-slovakia.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Slovakia.svg,PD,
ug-flag-slovenia.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Slovenia.svg,PD,
ug-flag-solomon_islands.svg,https://commons.wikimedia.org/wiki/File:Flag_of_the_Solomon_Islands.svg,PD,
ug-flag-somalia.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Somalia.svg,PD,
ug-flag-somaliland.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Somaliland.svg,PD,
ug-flag-south_africa.svg,https://commons.wikimedia.org/wiki/File:Flag_of_South_Africa.svg,PD,
ug-flag-south_korea.svg,https://commons.wikimedia.org/wiki/File:Flag_of_South_Korea.svg,PD,
ug-flag-south_ossetia.svg,https://commons.wikimedia.org/wiki/File:Flag_of_South_Ossetia.svg,PD,
ug-flag-south_sudan.svg,https://commons.wikimedia.org/wiki/File:Flag_of_South_Sudan.svg,PD,
ug-flag-spain.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Spain.svg,PD,
ug-flag-sri_lanka.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Sri_Lanka.svg,PD,
ug-flag-sudan.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Sudan.svg,PD,
ug-flag-suriname.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Suriname.svg,PD,
ug-flag-sweden.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Sweden.svg,PD,
ug-flag-switzerland.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Switzerland.svg,PD,
ug-flag-syria.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Syria.svg,PD,
ug-flag-taiwan.svg,https://commons.wikimedia.org/wiki/File:Flag_of_the_Republic_of_China.svg,PD,
ug-flag-tajikistan.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Tajikistan.svg,PD,
ug-flag-tanzania.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Tanzania.svg,PD,
ug-flag-thailand.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Thailand.svg,PD,
ug-flag-the_bahamas.svg,https://commons.wikimedia.org/wiki/File:Flag_of_the_Bahamas.svg,PD,
ug-flag-the_gambia.svg,https://commons.wikimedia.org/wiki/File:Flag_of_The_Gambia.svg,PD,
ug-flag-togo.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Togo.svg,PD,
ug-flag-tonga.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Tonga.svg,CC0 1.0,
ug-flag-transnistria.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Transnistria.svg,PD,
ug-flag-trinidad_and_tobago.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Trinidad_and_Tobago.svg,PD,
ug-flag-tunisia.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Tunisia.svg,PD,
ug-flag-turkey.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Turkey.svg,PD,
ug-flag-turkmenistan.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Turkmenistan.svg,PD,
ug-flag-tuvalu.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Tuvalu.svg,CC0 1.0,
ug-flag-uganda.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Uganda.svg,PD,
ug-flag-ukraine.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Ukraine.svg,PD,
ug-flag-united_arab_emirates.svg,https://commons.wikimedia.org/wiki/File:Flag_of_the_United_Arab_Emirates.svg,PD,
ug-flag-united_kingdom.svg,https://commons.wikimedia.org/wiki/File:Flag_of_United_Kingdom.svg,PD,
ug-flag-united_states_of_america.svg,https://commons.wikimedia.org/wiki/File:Flag_of_the_U.S..svg,PD,
ug-flag-united_states_virgin_islands.svg,https://commons.wikimedia.org/wiki/File:Flag_of_the_United_States_Virgin_Islands.svg,PD,
ug-flag-uruguay.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Uruguay.svg,PD,
ug-flag-uzbekistan.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Uzbekistan.svg,PD,
ug-flag-vanuatu.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Vanuatu.svg,PD,
ug-flag-vatican_city.svg,https://commons.wikimedia.org/wiki/File:Flag_of_the_Vatican_City.svg,CC0 1.0,
ug-flag-venezuela.png,https://en.wikipedia.org/wiki/File:Flag_of_Venezuela_(state).svg,PD,
ug-flag-vietnam.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Vietnam.svg,PD,
ug-flag-wales.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Wales.svg,CC0 1.0,
ug-flag-yemen.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Yemen.svg,PD,
ug-flag-zambia.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Zambia.svg,PD,
ug-flag-zimbabwe.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Zimbabwe.svg,PD,
ug-map-abkhazia.png,https://commons.wikimedia.org/wiki/File:Abkhazia_in_its_region.svg,CC BY-SA 3.0,
ug-map-adriatic_sea.png,not upstreamed yet,CC BY-SA 3.0,
