guid,country,flag,map,tags
s4E?ZF[E<>,Cook Islands,"<img src=""ug-flag-cook_islands.svg"" />","<img src=""ug-map-cook_islands.png"" />","UG::Oceania, UG::Sovereign_State"
k1]FH+s8j@,Federated States of Micronesia,"<img src=""ug-flag-federated_states_of_micronesia.svg"" />","<img src=""ug-map-federated_states_of_micronesia.png"" />","UG::Oceania, UG::Sovereign_State"
dWA49p}F{k,Guam,"<img src=""ug-flag-guam-blur.svg"" /><img src=""ug-flag-guam.svg"" />","<img src=""ug-map-guam.png"" />",UG::Oceania
K*b}<I3(~,Vanuatu,"<img src=""ug-flag-vanuatu.svg"" />","<img src=""ug-map-vanuatu.png"" />","UG::Oceania, UG::Sovereign_State"
e?h=Xhs+K&,Canada,"<img src=""ug-flag-canada.svg"" />","<img src=""ug-map-canada.png"" />","UG::North_America, UG::Sovereign_State"
b@M[XTc?}5,United States of America,"<img src=""ug-flag-united_states_of_america.svg"" />","<img src=""ug-map-united_states_of_america.png"" />","UG::North_America, UG::Sovereign_State"
sxOMs+bE8@,Mexico,"<img src=""ug-flag-mexico.png"" />","<img src=""ug-map-mexico.png"" />","UG::North_America, UG::Sovereign_State"
t3aZXtpNyi,Puerto Rico,"<img src=""ug-flag-puerto_rico.svg"" />","<img src=""ug-map-puerto_rico.png"" />","UG::Caribbean, UG::North_America"
rPekx@n9:L,Cuba,"<img src=""ug-flag-cuba.svg"" />","<img src=""ug-map-cuba.png"" />","UG::Caribbean, UG::North_America, UG::Sovereign_State"
lAxH.CfJB@,Dominican Republic,"<img src=""ug-flag-dominican_republic.png"" />","<img src=""ug-map-dominican_republic.png"" />","UG::Caribbean, UG::North_America, UG::Sovereign_State"
hZ/V/D&rO`,Haiti,"<img src=""ug-flag-haiti.svg"" />","<img src=""ug-map-haiti.png"" />","UG::Caribbean, UG::North_America, UG::Sovereign_State"
h&`>n98~V1,Jamaica,"<img src=""ug-flag-jamaica.svg"" />","<img src=""ug-map-jamaica.png"" />","UG::Caribbean, UG::North_America, UG::Sovereign_State"
t50y/[AEhF,Trinidad and Tobago,"<img src=""ug-flag-trinidad_and_tobago.svg"" />","<img src=""ug-map-trinidad_and_tobago.png"" />","UG::Caribbean, UG::North_America, UG::Sovereign_State"
gBCR?!O*;E,Bermuda,,"<img src=""ug-map-bermuda.png"" />","UG::Caribbean, UG::North_America"
tTnCoO/*tk,Guadeloupe,,"<img src=""ug-map-guadeloupe.png"" />","UG::Caribbean, UG::North_America"
W5?6yQZD2,The Bahamas,"<img src=""ug-flag-the_bahamas.svg"" />","<img src=""ug-map-the_bahamas.png"" />","UG::Caribbean, UG::North_America, UG::Sovereign_State"
e{e8vi@^PY,Barbados,"<img src=""ug-flag-barbados.svg"" />","<img src=""ug-map-barbados.png"" />","UG::Caribbean, UG::North_America, UG::Sovereign_State"
tcneuK7v%`,Belize,"<img src=""ug-flag-belize.png"" />","<img src=""ug-map-belize.png"" />","UG::North_America, UG::Sovereign_State"
uH*Q(mcRt5,Costa Rica,"<img src=""ug-flag-costa_rica.png"" />","<img src=""ug-map-costa_rica.png"" />","UG::North_America, UG::Sovereign_State"
k$1_yaF?9#,El Salvador,"<img src=""ug-flag-el_salvador-blur.png"" /><img src=""ug-flag-el_salvador.png"" />","<img src=""ug-map-el_salvador.png"" />","UG::North_America, UG::Sovereign_State"
dUZ^=SE5BG,Guatemala,"<img src=""ug-flag-guatemala.png"" />","<img src=""ug-map-guatemala.png"" />","UG::North_America, UG::Sovereign_State"
t_h*fbN#:(,Honduras,"<img src=""ug-flag-honduras.svg"" />","<img src=""ug-map-honduras.png"" />","UG::North_America, UG::Sovereign_State"
q=w[<m2Bk&,Nicaragua,"<img src=""ug-flag-nicaragua-blur.svg"" /><img src=""ug-flag-nicaragua.svg"" />","<img src=""ug-map-nicaragua.png"" />","UG::North_America, UG::Sovereign_State"
vpOTK6tMr@,Panama,"<img src=""ug-flag-panama.svg"" />","<img src=""ug-map-panama.png"" />","UG::North_America, UG::Sovereign_State"
m2F|cUkKhv,Antigua and Barbuda,"<img src=""ug-flag-antigua_and_barbuda.svg"" />","<img src=""ug-map-antigua_and_barbuda.png"" />","UG::Caribbean, UG::North_America, UG::Sovereign_State"
k}4/oj#$~s,Dominica,"<img src=""ug-flag-dominica.svg"" />","<img src=""ug-map-dominica.png"" />","UG::Caribbean, UG::North_America, UG::Sovereign_State"
va/ky=f5pK,Saint Vincent and the Grenadines,"<img src=""ug-flag-saint_vincent_and_the_grenadines.svg"" />","<img src=""ug-map-saint_vincent_and_the_grenadines.png"" />","UG::Caribbean, UG::North_America, UG::Sovereign_State"
"c,5(mUGzYT",Somalia,"<img src=""ug-flag-somalia.svg"" />","<img src=""ug-map-somalia.png"" />","UG::Africa, UG::East_Africa, UG::Sovereign_State"
gp[h@]y13l,Zanzibar,,"<img src=""ug-map-zanzibar.png"" />",UG::Africa
gx:;za!?C9,Ghana,"<img src=""ug-flag-ghana.svg"" />","<img src=""ug-map-ghana.png"" />","UG::Africa, UG::Sovereign_State, UG::West_Africa"
r]*Ioa%$bK,Guinea,"<img src=""ug-flag-guinea.svg"" />","<img src=""ug-map-guinea.png"" />","UG::Africa, UG::Sovereign_State, UG::West_Africa"
)Y}Qy.3GK,New Zealand,"<img src=""ug-flag-new_zealand.svg"" />","<img src=""ug-map-new_zealand.png"" />","UG::Oceania, UG::Sovereign_State"
lH^2D]w;[H,French Polynesia,"<img src=""ug-flag-french_polynesia.svg"" />","<img src=""ug-map-french_polynesia.png"" />",UG::Oceania
qx%>fB$d+$,Philippines,"<img src=""ug-flag-philippines.svg"" />","<img src=""ug-map-philippines.png"" />","UG::Asia, UG::Southeast_Asia, UG::Sovereign_State"
libliptkB4,Kosovo,"<img src=""ug-flag-kosovo.svg"" />","<img src=""ug-map-kosovo.png"" />","UG::Europe, UG::Sovereign_State"
jrM28*HbyG,Libya,"<img src=""ug-flag-libya.svg"" />","<img src=""ug-map-libya.png"" />","UG::Africa, UG::Mediterranean, UG::Sovereign_State"
r?E$4f-d0/,Palau,"<img src=""ug-flag-palau.svg"" />","<img src=""ug-map-palau.png"" />","UG::Oceania, UG::Sovereign_State"
leh^fmrt*#,Saint Lucia,"<img src=""ug-flag-saint_lucia.svg"" />","<img src=""ug-map-saint_lucia.png"" />","UG::Caribbean, UG::North_America, UG::Sovereign_State"
O~pXkAbd3,Bali,,"<img src=""ug-map-bali.png"" />",UG::Asia
f*LO~>!0PN,Grenada,"<img src=""ug-flag-grenada.svg"" />","<img src=""ug-map-grenada.png"" />","UG::Caribbean, UG::North_America, UG::Sovereign_State"
q[}7hk(+=e,British Virgin Islands,,"<img src=""ug-map-british_virgin_islands.png"" />","UG::Caribbean, UG::North_America"
q7do-wLx%E,Turks and Caicos Islands,,"<img src=""ug-map-turks_and_caicos_islands.png"" />","UG::Caribbean, UG::North_America"
vwc3}.=Z#&,Cayman Islands,,"<img src=""ug-map-cayman_islands.png"" />","UG::Caribbean, UG::North_America"
e<X;[vACXC,Anguilla,,"<img src=""ug-map-anguilla.png"" />","UG::Caribbean, UG::North_America"
"j=L,YBvsBk",Azores,,"<img src=""ug-map-azores.png"" />",UG::Europe
oa87&PB&Bm,Curaçao,"<img src=""ug-flag-curacao.svg"" />","<img src=""ug-map-curacao.png"" />","UG::Caribbean, UG::North_America"
b^Try&me1A,French Guiana,,"<img src=""ug-map-french_guiana.png"" />",UG::South_America
o``:?0>/yz,Gibraltar,,"<img src=""ug-map-gibraltar.png"" />","UG::Europe, UG::Mediterranean"
pz(G*<F93/,Guernsey,,"<img src=""ug-map-guernsey.png"" />",UG::Europe
cV4idO^r8W,Isle of Man,,"<img src=""ug-map-isle_of_man.png"" />",UG::Europe
m*PYE=#wr^,Jersey,,"<img src=""ug-map-jersey.png"" />",UG::Europe
sXzvT.g31p,Kiribati,"<img src=""ug-flag-kiribati.svg"" />","<img src=""ug-map-kiribati.png"" />","UG::Oceania, UG::Sovereign_State"
mq)8`hi{hb,Macau,"<img src=""ug-flag-macau.svg"" />","<img src=""ug-map-macau.png"" />",UG::Asia
h}lnSN_f$_,Madeira,,"<img src=""ug-map-madeira.png"" />",UG::Europe
"eT<gzg?q,r",Marshall Islands,"<img src=""ug-flag-marshall_islands.svg"" />","<img src=""ug-map-marshall_islands.png"" />","UG::Oceania, UG::Sovereign_State"
vE[T$`n9T),Nauru,"<img src=""ug-flag-nauru.svg"" />","<img src=""ug-map-nauru.png"" />","UG::Oceania, UG::Sovereign_State"
tj&bK}%P!F,New Caledonia,"<img src=""ug-flag-new_caledonia.svg"" />","<img src=""ug-map-new_caledonia.png"" />",UG::Oceania
kX]hN=_.c-,Niue,"<img src=""ug-flag-niue.svg"" />","<img src=""ug-map-niue.png"" />","UG::Oceania, UG::Sovereign_State"
"r/B|ra%L,.",Northern Cyprus,"<img src=""ug-flag-northern_cyprus.svg"" />","<img src=""ug-map-northern_cyprus.png"" />","UG::Asia, UG::Mediterranean, UG::Middle_East, UG::Sovereign_State"
b[(2`4t&?J,Saint Kitts and Nevis,"<img src=""ug-flag-saint_kitts_and_nevis.svg"" />","<img src=""ug-map-saint_kitts_and_nevis.png"" />","UG::Caribbean, UG::North_America, UG::Sovereign_State"
qvITjNxkLN,Samoa,"<img src=""ug-flag-samoa.svg"" />","<img src=""ug-map-samoa.png"" />","UG::Oceania, UG::Sovereign_State"
jX=#G8wu#(,Somaliland,"<img src=""ug-flag-somaliland.svg"" />","<img src=""ug-map-somaliland.png"" />","UG::Africa, UG::East_Africa, UG::Sovereign_State"
l&#7I)Ah/E,South Sudan,"<img src=""ug-flag-south_sudan.svg"" />","<img src=""ug-map-south_sudan.png"" />","UG::Africa, UG::East_Africa, UG::Sovereign_State"
"de=9c:,@j9",Tuvalu,"<img src=""ug-flag-tuvalu.svg"" />","<img src=""ug-map-tuvalu.png"" />","UG::Oceania, UG::Sovereign_State"
kE!iKHLN_g,United States Virgin Islands,"<img src=""ug-flag-united_states_virgin_islands.svg"" />","<img src=""ug-map-united_states_virgin_islands.png"" />","UG::Caribbean, UG::North_America"
d``B*6:eCx,Åland Islands,"<img src=""ug-flag-aland_islands.svg"" />","<img src=""ug-map-aland_islands.png"" />",UG::Europe
p]t8:Tka7q,South Ossetia,"<img src=""ug-flag-south_ossetia.svg"" />","<img src=""ug-map-south_ossetia.png"" />","UG::Asia, UG::Sovereign_State"
niJUFZF$Y:,American Samoa,,"<img src=""ug-map-american_samoa.png"" />",UG::Oceania
p}Qa|!7PpR,Northern Mariana Islands,,"<img src=""ug-map-northern_mariana_islands.png"" />",UG::Oceania
uv1fGXHN@),Aruba,"<img src=""ug-flag-aruba.svg"" />","<img src=""ug-map-aruba.png"" />","UG::Caribbean, UG::North_America"
sRw-ik:I$v,Abkhazia,"<img src=""ug-flag-abkhazia.svg"" />","<img src=""ug-map-abkhazia.png"" />","UG::Europe, UG::Sovereign_State"
bnEK#)[;qT,Sint Maarten,,"<img src=""ug-map-sint_maarten.png"" />","UG::Caribbean, UG::North_America"
ey:Q|*t!Lg,Republic of Artsakh,"<img src=""ug-flag-republic_of_artsakh.svg"" />","<img src=""ug-map-republic_of_artsakh.png"" />","UG::Asia, UG::Sovereign_State"
"c^,~EC6Pb2",Tonga,"<img src=""ug-flag-tonga.svg"" />","<img src=""ug-map-tonga.png"" />","UG::Oceania, UG::Sovereign_State"
tMMtBUpb$&,Transnistria,"<img src=""ug-flag-transnistria.svg"" />","<img src=""ug-map-transnistria.png"" />","UG::Europe, UG::Sovereign_State"
jKIDq|}J&c,Sardinia,,"<img src=""ug-map-sardinia.png"" />",UG::Europe
dC:e5G4J/p,Kaliningrad Oblast,,"<img src=""ug-map-kaliningrad_oblast.png"" />",UG::Europe
u;|vR#mVMW,Martinique,,"<img src=""ug-map-martinique.png"" />","UG::Caribbean, UG::North_America"
gDsLPj(9S#,Java,,"<img src=""ug-map-java.png"" />",UG::Asia
xb&P*pH(Q,Corsica,,"<img src=""ug-map-corsica.png"" />",UG::Europe
Bszsaz0Iuo,European Union,"<img src=""ug-flag-european_union.svg"" />","<img src=""ug-map-european_union.png"" />",UG::Europe
JOT:U4ayh@,Gulf of Mexico,,"<img src=""ug-map-gulf_of_mexico.png"" />",UG::Oceans+Seas
G/^_##fcPN,Philippine Sea,,"<img src=""ug-map-philippine_sea.png"" />",UG::Oceans+Seas
LPF4AfaHKR,Southern Ocean,,"<img src=""ug-map-southern_ocean-nobox.png"" />",UG::Oceans+Seas
rSneU!3}bn,Gulf of Thailand,,"<img src=""ug-map-gulf_of_thailand.png"" />",UG::Oceans+Seas
cv+Nq9:a<P,Micronesia,,"<img src=""ug-map-micronesia.png"" />",UG::Oceania
f*2@qiHh_1,Pacific Ocean,,"<img src=""ug-map-pacific_ocean-nobox.png"" />",UG::Oceans+Seas
nuU8A_$i2M,Atlantic Ocean,,"<img src=""ug-map-atlantic_ocean-nobox.png"" />",UG::Oceans+Seas
fT!w8R#>dg,Indian Ocean,,"<img src=""ug-map-indian_ocean-nobox.png"" />",UG::Oceans+Seas
gG6SWfM>H0,Arctic Ocean,,"<img src=""ug-map-arctic_ocean-nobox.png"" />",UG::Oceans+Seas
sM0GPt1HS1,Hudson Bay,,"<img src=""ug-map-hudson_bay.png"" />",UG::Oceans+Seas
dlU7VG|3Gd,Labrador Sea,,"<img src=""ug-map-labrador_sea.png"" />",UG::Oceans+Seas
cEO^y)Md[G,White Sea,,"<img src=""ug-map-white_sea.png"" />",UG::Oceans+Seas
eN#^kPGv*L,Denmark Strait,,"<img src=""ug-map-denmark_strait.png"" />",UG::Oceans+Seas
lp@e##m.!+,Norwegian Sea,,"<img src=""ug-map-norwegian_sea.png"" />",UG::Oceans+Seas
epvt3>HH?U,Baltic Sea,,"<img src=""ug-map-baltic_sea.png"" />",UG::Oceans+Seas
E3u*2.<9#`,Celtic Sea,,"<img src=""ug-map-celtic_sea.png"" />",UG::Oceans+Seas
q1Q3Do8S>g,English Channel,,"<img src=""ug-map-english_channel.png"" />",UG::Oceans+Seas
yX:tmrd5;],Adriatic Sea,,"<img src=""ug-map-adriatic_sea.png"" />",UG::Oceans+Seas
H*c[ML+`s=,Bay of Biscay,,"<img src=""ug-map-bay_of_biscay.png"" />",UG::Oceans+Seas
e_;dzXj8de,Black Sea,,"<img src=""ug-map-black_sea.png"" />",UG::Oceans+Seas
iB-8Br~onq,Aegean Sea,,"<img src=""ug-map-aegean_sea.png"" />",UG::Oceans+Seas
zSc]-^U=0=,Balkan Peninsula,,"<img src=""ug-map-balkan_peninsula.png"" />",UG::Europe
x2d4n4ADcP,Caspian Sea,,"<img src=""ug-map-caspian_sea.png"" />",UG::Oceans+Seas
Gn;q2Y)Xe4,Mediterranean Sea,,"<img src=""ug-map-mediterranean_sea.png"" />",UG::Oceans+Seas
gRVZ]qJ#>O,East Siberian Sea,,"<img src=""ug-map-east_siberian_sea.png"" />",UG::Oceans+Seas
"J%,fuysl*&",Bering Strait,,"<img src=""ug-map-bering_strait.png"" />",UG::Oceans+Seas
r(h9&#wc~B,Arabian Sea,,"<img src=""ug-map-arabian_sea.png"" />",UG::Oceans+Seas
_]DH+g9!$,Red Sea,,"<img src=""ug-map-red_sea.png"" />",UG::Oceans+Seas
B:x<p&Q=t),Dead Sea,,"<img src=""ug-map-dead_sea.png"" />",UG::Oceans+Seas
z:*d{z(~V2,Bay of Bengal,,"<img src=""ug-map-bay_of_bengal.png"" />",UG::Oceans+Seas
"d}R:qHj1,7",Sea of Japan,,"<img src=""ug-map-sea_of_japan.png"" />",UG::Oceans+Seas
L5M1*yG7eH,Yellow Sea,,"<img src=""ug-map-yellow_sea.png"" />",UG::Oceans+Seas
"s|K&2S,UP|",Coral Sea,,"<img src=""ug-map-coral_sea.png"" />",UG::Oceans+Seas
t$y1C2R-Av,South China Sea,,"<img src=""ug-map-south_china_sea.png"" />",UG::Oceans+Seas
eHJ?)TAdTo,Tasman Sea,,"<img src=""ug-map-tasman_sea.png"" />",UG::Oceans+Seas
pQpX%(EVOH,Gulf of Carpentaria,,"<img src=""ug-map-gulf_of_carpentaria.png"" />",UG::Oceans+Seas
qiv/4tOlf=,Aral Sea,,"<img src=""ug-map-aral_sea.png"" />",UG::Oceans+Seas
M$bc0[jYf0,Persian Gulf,,"<img src=""ug-map-persian_gulf.png"" />",UG::Oceans+Seas
jYz[ibrr9m,Caribbean Sea,,"<img src=""ug-map-caribbean_sea.png"" />",UG::Oceans+Seas
SlOEXfq#|,Gulf of California,,"<img src=""ug-map-gulf_of_california.png"" />",UG::Oceans+Seas
"d5m8%D6,;u",Polynesia,,"<img src=""ug-map-polynesia.png"" />",UG::Oceania
o9{x<AyA]B,Melanesia,,"<img src=""ug-map-melanesia.png"" />",UG::Oceania
He!e=h?_2V,Scandinavia,,"<img src=""ug-map-scandinavia.png"" />",UG::Europe
QSq%~rFaP-,Sea of Galilee,,"<img src=""ug-map-sea_of_galilee.png"" />",UG::Oceans+Seas
ck!6;xK$/^,Sumatra,,"<img src=""ug-map-sumatra.png"" />",UG::Asia
n{{o2K1:dw,Sicily,,"<img src=""ug-map-sicily.png"" />",UG::Europe
xqrJ^d[.(O,Mayotte,,"<img src=""ug-map-mayotte.png"" />","UG::Africa, UG::East_Africa"
vrn%j%6{nu,Réunion,,"<img src=""ug-map-reunion.png"" />","UG::Africa, UG::East_Africa"
p#R$-mG/L,Falkland Islands,,"<img src=""ug-map-falkland_islands.png"" />",UG::South_America
oV/JG7fwZq,Europe,,"<img src=""ug-map-europe-nobox.png"" />",UG::Continents
bD?R}i8_[c,North America,,"<img src=""ug-map-north_america-nobox.png"" />",UG::Continents
Lol+XIvY21,South America,,"<img src=""ug-map-south_america-nobox.png"" />",UG::Continents
Qlib4)q2Hk,Asia,,"<img src=""ug-map-asia-nobox.png"" />",UG::Continents
pwwZu{7f~(,Africa,,"<img src=""ug-map-africa-nobox.png"" />",UG::Continents
qFuGdDx^Yv,Australia (Oceania),,"<img src=""ug-map-oceania-nobox.png"" />",UG::Continents
Cf2@;p<aL,Antarctica,,"<img src=""ug-map-antarctica-nobox.png"" />",UG::Continents
t2&ri|[Un:,Saint Martin,,"<img src=""ug-map-saint_martin.png"" />","UG::Caribbean, UG::North_America"
dbP/Cj}sB+,Wallis and Futuna,,"<img src=""ug-map-wallis_and_futuna.png"" />",UG::Oceania
wa>{k!2cXc,Akrotiri and Dhekelia,,"<img src=""ug-map-akrotiri_and_dhekelia.png"" />","UG::Asia, UG::Mediterranean, UG::Middle_East"
5JJ2]i)p4,Svalbard,,"<img src=""ug-map-svalbard.png"" />",UG::Europe
"s>f40rn,O]",Hawaii,,"<img src=""ug-map-hawaii.png"" />",UG::Oceania
ssbyA9}]QP,Alaska,,"<img src=""ug-map-alaska.png"" />",UG::North_America
vKx<0Qa!aP,Bougainville,,"<img src=""ug-map-bougainville.png"" />",UG::Oceania
fkq7lhLkdH,Jeju,,"<img src=""ug-map-jeju.png"" />",UG::Asia
