country,country info,country info:de,country info:es,country info:fr,country info:nb,country info:cs,country info:ru,country info:nl,country info:sv,country info:pt,country info:zh,country info:zh-tw,country info:pl,country info:it,country info:da
French Polynesia,Overseas territory of France.,Französisches Überseegebiet.,Territorio de ultramar de Francia.,Collectivité française d'outre-mer.,Fransk oversjøisk land.,Zámořské území Francie.,Заморская территория Франции.,Overzees land van Frankrijk.,Franskt utomeuropeiskt förvaltningsområde.,Território ultramarino da França.,法国(France)的海外领土。,法國的海外領土。,Terytorium zamorskie Francji.,Territorio d'oltremare della Francia.,Fransk oversøisk territorie.
Kosovo,Partially recognised state claimed by Serbia.,"Teilweise anerkannter Staat, von Serbien beansprucht.",Estado parcialmente reconocido reclamado por Serbia.,État partiellement reconnu revendiqué par la Serbie.,Delvis anerkjent stat som Serbia gjør krav på.,Částečně uznávaný stát nárokováný Srbskem.,"Частично признанное государство, на которое претендует Сербия.","Deels erkende staat, opgeëist door Servië.","Delvis erkänd stat, görs anspråk på av Serbien.",Estado parcialmente reconhecido reivindicado pela Sérvia.,塞尔维亚(Serbia)宣称拥有主权但仅被部分国家承认的地区。,塞爾維亞宣稱擁有該地區主權，但僅有部分國家承認。,"Państwo częściowo uznane, terytorium sporne z Serbią.",Stato parzialmente riconosciuto rivendicato dalla Serbia.,Delvist anerkendt stat som Serbien gør krav på.
Bali,Island of Indonesia.,Insel von Indonesien.,Isla de Indonesia.,Île d'Indonésie.,Øy i Indonesia.,Indonéský ostrov.,Остров Индонезии.,Eiland van Indonesië.,Ö i Indonesien.,Ilha da Indonésia.,印度尼西亚(Indonesia)的岛屿之一。,印尼的島嶼。,Wyspa w Indonezji.,Isola dell'Indonesia.,Ø i Indonesien.
British Virgin Islands,Overseas territory of the United Kingdom.,Britisches Überseegebiet.,Territorio de ultramar del Reino Unido.,Territoire britannique d'outre-mer.,Selvstyrt britisk oversjøisk territorium i Karibia.,Zámořské území Velké Británie.,Заморская территория Великобритании.,Overzees land van het Verenigd Koninkrijk.,Brittiskt utomeuropeiskt territorium.,Território ultramarino do Reino Unido.,英国(U.K.)的海外领土。,英國的海外領土。,Terytorium zamorskie Wielkiej Brytanii.,Territorio d'oltremare del Regno Unito.,Oversøisk territorie i Storbritannien.
Turks and Caicos Islands,Overseas territory of the United Kingdom.,Auch Turks &amp; Caicos. Britisches Überseegebiet.,Territorio de ultramar del Reino Unido.,Territoire britannique d'outre-mer.,Selvstyrt britisk oversjøisk territorium i Karibia.,Zámořské území Velké Británie.,Заморская территория Соединенного Королевства.,Overzees land van het Verenigd Koninkrijk.,Brittiskt utomeuropeiskt territorium.,Território ultramarino do Reino Unido.,英国(U.K.)的海外领土。,英國的海外領土。,Terytorium zamorskie Wielkiej Brytanii.,Territorio d'oltremare del Regno Unito.,Oversøisk territorie i Storbritannien.
Cayman Islands,Overseas territory of the United Kingdom.,Überseegebiet des Vereinigten Königreichs.,Territorio de ultramar del Reino Unido.,Territoire britannique d'outre-mer.,Selvstyrt britisk oversjøisk territorium i Karibia.,Zámořské území Velké Británie.,Заморская территория Соединенного Королевства.,Overzees land van het Verenigd Koninkrijk.,Brittiskt utomeuropeiskt territorium.,Território ultramarino do Reino Unido.,英国(U.K.)的海外领土。,英國的海外領土。,Terytorium zamorskie Wielkiej Brytanii.,Territorio d'oltremare del Regno Unito.,Oversøisk territorie i Storbritannien.
Anguilla,Overseas territory of the United Kingdom.,Britisches Überseegebiet.,Territorio de ultramar del Reino Unido.,Territoire britannique d'outre-mer.,Selvstyrt britisk oversjøisk territorium i Karibia.,Zámořské území Velké Británie s autonomní správou.,Заморская территория Соединенного Королевства.,Overzees land van het Verenigd Koninkrijk.,Brittiskt utomeuropeiskt territorium.,Território ultramarino do Reino Unido.,英国(U.K.)的海外领土。,英國的海外領土。,Terytorium zamorskie Wielkiej Brytanii.,Territorio d'oltremare del Regno Unito.,Oversøisk territorie i Storbritannien.
Azores,Autonomous region of Portugal.,Autonome Region von Portugal.,Región autónoma de Portugal.,Région autonome du Portugal.,Selvstyrt region i Portugal.,Autonomní území Portugalska.,Автономная область Португалии.,Autonome regio van Portugal.,Portugisisk autonom ögrupp.,Região autônoma de Portugal.,葡萄牙(Portugal)自治区。,葡萄牙的自治區。,Terytorium autonomiczne Portugalii.,Regione autonoma del Portogallo.,Selvstændig region Autonomous region i Portugal.
Curaçao,Constituent country of the Kingdom of the Netherlands.,Autonomes Land innerhalb des Königreichs der Niederlande.,Nación constitutiva del Reino de los Países Bajos.,État autonome du royaume des Pays-Bas.,"«Land» som sammen med Nederland, Aruba og Sint Maarten utgjør føderasjonen Kongeriket Nederlandene.",Konstituční země Nizozemského království.,"Самоуправляемое государственное образование, составная часть Королевства Нидерландов.",Autonoom gebied binnen het Koninkrijk der Nederlanden.,Ett av fyra länder som utgör staten Nederländerna.,País constituinte do Reino dos Países Baixos.,荷兰(Netherlands)的一部分。,荷蘭的構成國。,Autonomiczny kraj wchodzący w skład Królestwa Niderlandów.,Nazione costitutiva del Regno dei Paesi Bassi.,Selvstændig stat i Kongeriget Nederlandene.
French Guiana,Overseas department of France.,Französisches Überseegebiet.,Departamento de ultramar de Francia.,Département français d'outre-mer.,Fransk oversjøisk departement og del av EU.,Zámořský department Francie.,Заморский департамент Франции.,Overzees departement van Frankrijk.,Franskt utomeuropeiskt departement.,Departamento ultramarino da França.,法国(France)的海外省份。,法國的海外省。,Departament zamorski Francji.,Dipartimento d'oltremare della Francia.,Fransk oversøisk departement.
